flight_num,time_GMT,t_rel_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
10620674,08:00:00,0,1340.7380130974925,2.583167939645,335.28000000000003,-27.23296670232478,-0.44989026622800027,0.0
10561439,08:00:00,0,798.1004252495071,217.2478855936803,0.0,-2.583237606763822,-3.829031541051797,0.0
10502576,08:00:00,0,5646.407740290638,-1134.9660268294679,1767.8400000000001,-70.9707791621188,-37.95091913167581,0.0
11322591,08:00:00,0,76.6641810014405,8.4732376390151,320.03999999999996,12.962894441472903,5.6938219104973005,-15.239999999999975
10801356,08:00:00,0,-4063.7714349291487,-10.870299874854101,518.1600000000001,45.83346295181645,3.2217809837705005,0.0
10628960,08:00:00,0,1096.7652774768023,76.734250481619,304.8,-2.493500577663399,0.5225526590489082,0.0
11289096,08:00:00,0,2394.414353594392,2801.5572983533098,640.08,-13.688622789064464,-93.54420425687992,0.0
10520887,08:00:00,0,1340.1759702580077,2.3579404250702,304.8,-17.738057094450753,0.47881388101279987,0.0
10690071,08:00:00,0,1442.9408328515242,7.166353124868,381.0,60.4354950781596,-4.203056938412701,15.239999999999975
10817673,08:00:00,0,167.0773667658521,5.2101690555073,320.03999999999996,38.010808083031286,-1.9080794562334,0.0
10836345,08:00:00,0,5140.130201005288,-2167.718763220885,807.72,-97.4564253025001,96.01472370954767,0.0
10801940,08:00:00,0,219.28372948586892,1723.0917422386603,457.2,-26.0039754294156,-34.72746872781363,0.0
10562261,08:00:00,0,5220.434838080114,-2329.972756029126,1592.5800000000002,13.362145235313427,33.838018383767206,0.0
10866934,08:00:00,0,932.0059055035632,157.60794694394582,297.01787234042547,-0.187457248234435,0.1780733299063808,-0.162127659574407
10532852,08:00:00,0,4627.498231566504,2937.0708537931046,815.34,-58.55960850841768,-8.107784076614166,0.0
10938489,08:00:00,0,-4068.912133773092,-45.2938947070244,510.54,43.003624506671834,-2.9795078496977005,-7.61999999999996
10692996,08:00:00,0,5713.014157712002,-49.9793611811442,556.26,-48.52935361314792,-0.1796328708094999,0.0
11120911,08:00:00,0,692.22104036778,-220.9563367160732,274.32,-0.40405306653146233,0.4850448339110136,0.0
11388217,08:00:00,0,-4066.9505120334907,-20.5796326960524,518.1600000000001,40.98432789367212,4.6926292401268,0.0
16584950,08:00:00,0,636.880694741226,4059.5919195998863,365.76,15.702987034383886,-5.825484709229833,0.0
10930127,08:00:00,0,3472.3793049275328,3333.2806648055443,609.6,-27.085500785097416,-60.664138733538934,0.0
10785196,08:00:00,0,747.723006939259,2.0689979839212,311.5733333333333,76.34022791607786,-1.3158706172654,6.773333333333298
11383470,08:00:00,0,5221.161319806177,-2090.766298174266,723.9000000000001,-44.1317834583792,36.2295315994765,0.0
10570502,08:00:00,0,-181.8483983589999,-4728.3463580954,690.88,-6.399884820732393,49.326124171657604,-2.5399999999999867
11181355,08:00:00,0,5761.219722220199,-17.573081260784,571.5,-66.46088729890477,-5.0794142598245,0.0
11367133,08:00:00,0,-2778.465679317272,2826.562824594823,548.64,37.14999699833355,-30.974693212508786,0.0
10584392,08:00:00,0,193.2929445913987,-4794.958572417298,670.5600000000001,-12.632558298441399,20.363937082021444,0.0
11207465,08:00:00,0,1160.0312564559454,6.707174097169499,342.9,-49.62640611846014,0.32407757588950004,0.0
11332345,08:00:00,0,2505.444140141024,-4548.624412518888,701.0400000000001,-46.247070724367845,25.719522847872156,-7.620000000000071
10920967,08:00:00,0,-4126.233483991156,-118.60355878735069,716.2800000000001,59.94242637425096,33.83318922148179,0.0
11295469,08:00:00,0,1075.2911902505437,2.8480313958755,335.28000000000003,-27.77236994708554,-0.7401873323610998,0.0
11390060,08:00:00,0,1032.1750661726844,124.7643260193237,365.76,-0.35636427036833673,-1.0907750395834082,0.0
10552248,08:00:00,0,1189.383173206839,4.1279480178471,342.9,-37.27015742355388,-5.348275930377801,0.0
11128227,08:00:00,0,1320.646345412718,-4802.324005206254,640.08,-30.97898781134201,50.180560469823554,0.0
11330440,08:00:00,0,1020.3671731055517,3.2678268652927,342.9,-38.411033818180115,2.0347898796225,0.0
10636784,08:00:00,0,1171.3310429720686,-0.8395006964894,304.8,-32.46155785304339,-0.143240988969,30.480000000000008
11217673,08:00:00,0,777.0075292981625,223.0884710957979,304.8,1.9279239745570997,1.8234296910809022,0.0
10929729,08:00:00,0,-4040.344444006536,75.87429649805499,579.12,24.59120126101766,-6.298987196489095,0.0
11017321,08:00:00,0,-388.8789391201759,4841.258361358869,807.72,61.2018867781971,-27.965454901340614,3.810000000000091
10760527,08:00:00,0,5646.523201929029,-1017.501304498075,792.48,-37.90687539025672,49.851122950644196,0.0
10651547,08:00:00,0,-3993.978659436768,-146.1314908280545,609.6,70.71139597702603,4.308500717343983,-30.48000000000006
11109066,08:00:00,0,5762.011432922638,-15.1447358968938,609.6,-42.601503823408216,1.3915351068008002,0.0
10722330,08:00:00,0,861.2379435476055,0.057378455761876446,365.76,-36.607462221683875,-0.5982534214400764,0.0
6056556,08:00:00,0,535.495829221727,4634.15784313142,613.41,-0.5338244062543795,-37.32993311046062,-3.80999999999998
11028290,08:00:00,0,5765.935564269598,-3.1085891674836996,609.6,-63.55852136205531,1.0992972874076,-7.61999999999996
10495695,08:00:00,0,-4001.777925645469,57.9884830668898,449.58,67.84186270586368,-4.451187740016002,-7.61999999999996
11206953,08:00:00,0,734.6112828737157,2.5584641466856,211.455,66.04970981651715,-0.34631220908240035,5.714999999999998
10509969,08:00:00,0,228.46084366814932,6.8791421048256,213.35999999999999,29.89561135139321,1.7958258687680002,7.620000000000015
