Strategy,Landed,Airborne,Average Wait - All Aircraft (min),Average Wait - Landed Aircraft (min),Maximum Wait (min),Unique Conflict Pairs,Total Holding Actions,Unique Aircraft Sent to Holding,Avg Holding Actions per Affected Aircraft,Avg Wait Over Time
FIFO,9,15,66.38,27.0,90.0,103,1213,22,55.14,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.25), np.float64(7.125), np.float64(8.0), np.float64(8.875), np.float64(9.75), np.float64(10.625), np.float64(11.458333333333334), np.float64(12.291666666666666), np.float64(13.125), np.float64(13.916666666666666), np.float64(14.708333333333334), np.float64(15.5), np.float64(16.291666666666668), np.float64(17.083333333333332), np.float64(17.875), np.float64(18.666666666666668), np.float64(19.458333333333332), np.float64(20.25), np.float64(21.041666666666668), np.float64(21.833333333333332), np.float64(22.625), np.float64(23.416666666666668), np.float64(24.208333333333332), np.float64(25.0), np.float64(25.791666666666668), np.float64(26.583333333333332), np.float64(27.375), np.float64(28.166666666666668), np.float64(28.958333333333332), np.float64(29.75), np.float64(30.458333333333332), np.float64(31.166666666666668), np.float64(31.875), np.float64(32.583333333333336), np.float64(33.291666666666664), np.float64(34.0), np.float64(34.708333333333336), np.float64(35.416666666666664), np.float64(36.125), np.float64(36.833333333333336), np.float64(37.541666666666664), np.float64(38.25), np.float64(38.958333333333336), np.float64(39.666666666666664), np.float64(40.375), np.float64(41.083333333333336), np.float64(41.791666666666664), np.float64(42.5), np.float64(43.208333333333336), np.float64(43.916666666666664), np.float64(44.625), np.float64(45.291666666666664), np.float64(45.958333333333336), np.float64(46.625), np.float64(47.291666666666664), np.float64(47.958333333333336), np.float64(48.625), np.float64(49.291666666666664), np.float64(49.958333333333336), np.float64(50.625), np.float64(51.291666666666664), np.float64(51.958333333333336), np.float64(52.625), np.float64(53.291666666666664), np.float64(53.958333333333336), np.float64(54.625), np.float64(55.291666666666664), np.float64(55.958333333333336), np.float64(56.625), np.float64(57.291666666666664), np.float64(57.958333333333336), np.float64(58.625), np.float64(59.291666666666664), np.float64(59.958333333333336), np.float64(60.625), np.float64(61.291666666666664), np.float64(61.958333333333336), np.float64(62.625), np.float64(63.25), np.float64(63.875), np.float64(64.5), np.float64(65.125), np.float64(65.75), np.float64(66.375)]"
ETA-Based,7,17,69.75,20.57,90.0,107,1310,22,59.55,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.6666666666666665), np.float64(4.583333333333333), np.float64(5.5), np.float64(6.416666666666667), np.float64(7.333333333333333), np.float64(8.25), np.float64(9.083333333333334), np.float64(9.916666666666666), np.float64(10.75), np.float64(11.583333333333334), np.float64(12.416666666666666), np.float64(13.25), np.float64(14.083333333333334), np.float64(14.916666666666666), np.float64(15.75), np.float64(16.583333333333332), np.float64(17.416666666666668), np.float64(18.25), np.float64(19.083333333333332), np.float64(19.916666666666668), np.float64(20.75), np.float64(21.583333333333332), np.float64(22.416666666666668), np.float64(23.25), np.float64(24.083333333333332), np.float64(24.916666666666668), np.float64(25.75), np.float64(26.583333333333332), np.float64(27.416666666666668), np.float64(28.25), np.float64(29.083333333333332), np.float64(29.916666666666668), np.float64(30.75), np.float64(31.541666666666668), np.float64(32.333333333333336), np.float64(33.125), np.float64(33.875), np.float64(34.625), np.float64(35.375), np.float64(36.125), np.float64(36.875), np.float64(37.625), np.float64(38.375), np.float64(39.125), np.float64(39.875), np.float64(40.625), np.float64(41.375), np.float64(42.125), np.float64(42.833333333333336), np.float64(43.541666666666664), np.float64(44.25), np.float64(44.958333333333336), np.float64(45.666666666666664), np.float64(46.375), np.float64(47.083333333333336), np.float64(47.791666666666664), np.float64(48.5), np.float64(49.208333333333336), np.float64(49.916666666666664), np.float64(50.625), np.float64(51.333333333333336), np.float64(52.041666666666664), np.float64(52.75), np.float64(53.458333333333336), np.float64(54.166666666666664), np.float64(54.875), np.float64(55.583333333333336), np.float64(56.291666666666664), np.float64(57.0), np.float64(57.708333333333336), np.float64(58.416666666666664), np.float64(59.125), np.float64(59.833333333333336), np.float64(60.541666666666664), np.float64(61.25), np.float64(61.958333333333336), np.float64(62.666666666666664), np.float64(63.375), np.float64(64.08333333333333), np.float64(64.79166666666667), np.float64(65.5), np.float64(66.20833333333333), np.float64(66.91666666666667), np.float64(67.625), np.float64(68.33333333333333), np.float64(69.04166666666667), np.float64(69.75)]"
Conflict-Aware ETA,7,17,70.12,21.86,90.0,103,1325,21,63.1,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.25), np.float64(7.125), np.float64(8.0), np.float64(8.875), np.float64(9.75), np.float64(10.625), np.float64(11.5), np.float64(12.375), np.float64(13.25), np.float64(14.125), np.float64(15.0), np.float64(15.875), np.float64(16.708333333333332), np.float64(17.541666666666668), np.float64(18.375), np.float64(19.208333333333332), np.float64(20.041666666666668), np.float64(20.875), np.float64(21.708333333333332), np.float64(22.541666666666668), np.float64(23.375), np.float64(24.208333333333332), np.float64(25.041666666666668), np.float64(25.875), np.float64(26.666666666666668), np.float64(27.458333333333332), np.float64(28.25), np.float64(29.041666666666668), np.float64(29.833333333333332), np.float64(30.625), np.float64(31.416666666666668), np.float64(32.208333333333336), np.float64(33.0), np.float64(33.791666666666664), np.float64(34.583333333333336), np.float64(35.375), np.float64(36.166666666666664), np.float64(36.958333333333336), np.float64(37.75), np.float64(38.541666666666664), np.float64(39.333333333333336), np.float64(40.125), np.float64(40.875), np.float64(41.625), np.float64(42.375), np.float64(43.125), np.float64(43.875), np.float64(44.625), np.float64(45.333333333333336), np.float64(46.041666666666664), np.float64(46.75), np.float64(47.458333333333336), np.float64(48.166666666666664), np.float64(48.875), np.float64(49.583333333333336), np.float64(50.291666666666664), np.float64(51.0), np.float64(51.708333333333336), np.float64(52.416666666666664), np.float64(53.125), np.float64(53.833333333333336), np.float64(54.541666666666664), np.float64(55.25), np.float64(55.958333333333336), np.float64(56.666666666666664), np.float64(57.375), np.float64(58.083333333333336), np.float64(58.791666666666664), np.float64(59.5), np.float64(60.208333333333336), np.float64(60.916666666666664), np.float64(61.625), np.float64(62.333333333333336), np.float64(63.041666666666664), np.float64(63.75), np.float64(64.45833333333333), np.float64(65.16666666666667), np.float64(65.875), np.float64(66.58333333333333), np.float64(67.29166666666667), np.float64(68.0), np.float64(68.70833333333333), np.float64(69.41666666666667), np.float64(70.125)]"
Trajectory-Aware,7,17,70.12,21.86,90.0,103,1325,21,63.1,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.25), np.float64(7.125), np.float64(8.0), np.float64(8.875), np.float64(9.75), np.float64(10.625), np.float64(11.5), np.float64(12.375), np.float64(13.25), np.float64(14.125), np.float64(15.0), np.float64(15.875), np.float64(16.708333333333332), np.float64(17.541666666666668), np.float64(18.375), np.float64(19.208333333333332), np.float64(20.041666666666668), np.float64(20.875), np.float64(21.708333333333332), np.float64(22.541666666666668), np.float64(23.375), np.float64(24.208333333333332), np.float64(25.041666666666668), np.float64(25.875), np.float64(26.666666666666668), np.float64(27.458333333333332), np.float64(28.25), np.float64(29.041666666666668), np.float64(29.833333333333332), np.float64(30.625), np.float64(31.416666666666668), np.float64(32.208333333333336), np.float64(33.0), np.float64(33.791666666666664), np.float64(34.583333333333336), np.float64(35.375), np.float64(36.166666666666664), np.float64(36.958333333333336), np.float64(37.75), np.float64(38.541666666666664), np.float64(39.333333333333336), np.float64(40.125), np.float64(40.875), np.float64(41.625), np.float64(42.375), np.float64(43.125), np.float64(43.875), np.float64(44.625), np.float64(45.333333333333336), np.float64(46.041666666666664), np.float64(46.75), np.float64(47.458333333333336), np.float64(48.166666666666664), np.float64(48.875), np.float64(49.583333333333336), np.float64(50.291666666666664), np.float64(51.0), np.float64(51.708333333333336), np.float64(52.416666666666664), np.float64(53.125), np.float64(53.833333333333336), np.float64(54.541666666666664), np.float64(55.25), np.float64(55.958333333333336), np.float64(56.666666666666664), np.float64(57.375), np.float64(58.083333333333336), np.float64(58.791666666666664), np.float64(59.5), np.float64(60.208333333333336), np.float64(60.916666666666664), np.float64(61.625), np.float64(62.333333333333336), np.float64(63.041666666666664), np.float64(63.75), np.float64(64.45833333333333), np.float64(65.16666666666667), np.float64(65.875), np.float64(66.58333333333333), np.float64(67.29166666666667), np.float64(68.0), np.float64(68.70833333333333), np.float64(69.41666666666667), np.float64(70.125)]"
Optimization Heuristic,8,16,66.5,19.5,90.0,106,1210,22,55.0,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.208333333333333), np.float64(7.041666666666667), np.float64(7.875), np.float64(8.708333333333334), np.float64(9.541666666666666), np.float64(10.375), np.float64(11.208333333333334), np.float64(12.041666666666666), np.float64(12.875), np.float64(13.708333333333334), np.float64(14.541666666666666), np.float64(15.375), np.float64(16.208333333333332), np.float64(17.041666666666668), np.float64(17.875), np.float64(18.708333333333332), np.float64(19.541666666666668), np.float64(20.375), np.float64(21.208333333333332), np.float64(22.041666666666668), np.float64(22.875), np.float64(23.666666666666668), np.float64(24.458333333333332), np.float64(25.25), np.float64(26.041666666666668), np.float64(26.833333333333332), np.float64(27.625), np.float64(28.416666666666668), np.float64(29.208333333333332), np.float64(30.0), np.float64(30.791666666666668), np.float64(31.583333333333332), np.float64(32.375), np.float64(33.083333333333336), np.float64(33.791666666666664), np.float64(34.5), np.float64(35.166666666666664), np.float64(35.833333333333336), np.float64(36.5), np.float64(37.166666666666664), np.float64(37.833333333333336), np.float64(38.5), np.float64(39.166666666666664), np.float64(39.833333333333336), np.float64(40.5), np.float64(41.166666666666664), np.float64(41.833333333333336), np.float64(42.5), np.float64(43.166666666666664), np.float64(43.833333333333336), np.float64(44.5), np.float64(45.166666666666664), np.float64(45.833333333333336), np.float64(46.5), np.float64(47.166666666666664), np.float64(47.833333333333336), np.float64(48.5), np.float64(49.166666666666664), np.float64(49.833333333333336), np.float64(50.5), np.float64(51.166666666666664), np.float64(51.833333333333336), np.float64(52.5), np.float64(53.166666666666664), np.float64(53.833333333333336), np.float64(54.5), np.float64(55.166666666666664), np.float64(55.833333333333336), np.float64(56.5), np.float64(57.166666666666664), np.float64(57.833333333333336), np.float64(58.5), np.float64(59.166666666666664), np.float64(59.833333333333336), np.float64(60.5), np.float64(61.166666666666664), np.float64(61.833333333333336), np.float64(62.5), np.float64(63.166666666666664), np.float64(63.833333333333336), np.float64(64.5), np.float64(65.16666666666667), np.float64(65.83333333333333), np.float64(66.5)]"
Safe Skies,24,0,14.54,14.54,32.0,69,26,20,1.3,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.208333333333333), np.float64(6.291666666666667), np.float64(6.458333333333333), np.float64(6.666666666666667), np.float64(7.0), np.float64(7.375), np.float64(7.75), np.float64(8.166666666666666), np.float64(8.583333333333334), np.float64(8.958333333333334), np.float64(9.416666666666666), np.float64(9.875), np.float64(10.291666666666666), np.float64(10.666666666666666), np.float64(11.083333333333334), np.float64(11.458333333333334), np.float64(11.875), np.float64(12.166666666666666), np.float64(12.416666666666666), np.float64(12.666666666666666), np.float64(12.916666666666666), np.float64(13.166666666666666), np.float64(13.416666666666666), np.float64(13.625), np.float64(13.791666666666666), np.float64(13.958333333333334), np.float64(14.083333333333334), np.float64(14.208333333333334), np.float64(14.333333333333334), np.float64(14.416666666666666), np.float64(14.458333333333334), np.float64(14.5), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666), np.float64(14.541666666666666)]"
