Strategy,Landed,Airborne,Average Wait - All Aircraft (min),Average Wait - Landed Aircraft (min),Maximum Wait (min),Unique Conflict Pairs,Total Holding Actions,Unique Aircraft Sent to Holding,Avg Holding Actions per Affected Aircraft,Avg Wait Over Time
FIFO,7,17,69.12,18.43,90.0,146,1295,23,56.3,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.6666666666666665), np.float64(4.583333333333333), np.float64(5.5), np.float64(6.375), np.float64(7.25), np.float64(8.125), np.float64(9.0), np.float64(9.875), np.float64(10.75), np.float64(11.583333333333334), np.float64(12.416666666666666), np.float64(13.25), np.float64(14.083333333333334), np.float64(14.916666666666666), np.float64(15.75), np.float64(16.583333333333332), np.float64(17.416666666666668), np.float64(18.25), np.float64(19.083333333333332), np.float64(19.916666666666668), np.float64(20.75), np.float64(21.583333333333332), np.float64(22.416666666666668), np.float64(23.25), np.float64(24.083333333333332), np.float64(24.916666666666668), np.float64(25.75), np.float64(26.583333333333332), np.float64(27.416666666666668), np.float64(28.25), np.float64(29.083333333333332), np.float64(29.916666666666668), np.float64(30.75), np.float64(31.5), np.float64(32.25), np.float64(33.0), np.float64(33.708333333333336), np.float64(34.416666666666664), np.float64(35.125), np.float64(35.833333333333336), np.float64(36.541666666666664), np.float64(37.25), np.float64(37.958333333333336), np.float64(38.666666666666664), np.float64(39.375), np.float64(40.083333333333336), np.float64(40.791666666666664), np.float64(41.5), np.float64(42.208333333333336), np.float64(42.916666666666664), np.float64(43.625), np.float64(44.333333333333336), np.float64(45.041666666666664), np.float64(45.75), np.float64(46.458333333333336), np.float64(47.166666666666664), np.float64(47.875), np.float64(48.583333333333336), np.float64(49.291666666666664), np.float64(50.0), np.float64(50.708333333333336), np.float64(51.416666666666664), np.float64(52.125), np.float64(52.833333333333336), np.float64(53.541666666666664), np.float64(54.25), np.float64(54.958333333333336), np.float64(55.666666666666664), np.float64(56.375), np.float64(57.083333333333336), np.float64(57.791666666666664), np.float64(58.5), np.float64(59.208333333333336), np.float64(59.916666666666664), np.float64(60.625), np.float64(61.333333333333336), np.float64(62.041666666666664), np.float64(62.75), np.float64(63.458333333333336), np.float64(64.16666666666667), np.float64(64.875), np.float64(65.58333333333333), np.float64(66.29166666666667), np.float64(67.0), np.float64(67.70833333333333), np.float64(68.41666666666667), np.float64(69.125)]"
ETA-Based,7,17,69.75,20.57,90.0,145,1301,22,59.14,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.6666666666666665), np.float64(4.583333333333333), np.float64(5.5), np.float64(6.375), np.float64(7.25), np.float64(8.125), np.float64(9.0), np.float64(9.875), np.float64(10.75), np.float64(11.625), np.float64(12.5), np.float64(13.375), np.float64(14.208333333333334), np.float64(15.041666666666666), np.float64(15.875), np.float64(16.708333333333332), np.float64(17.541666666666668), np.float64(18.375), np.float64(19.208333333333332), np.float64(20.041666666666668), np.float64(20.875), np.float64(21.666666666666668), np.float64(22.458333333333332), np.float64(23.25), np.float64(24.041666666666668), np.float64(24.833333333333332), np.float64(25.625), np.float64(26.416666666666668), np.float64(27.208333333333332), np.float64(28.0), np.float64(28.791666666666668), np.float64(29.583333333333332), np.float64(30.375), np.float64(31.166666666666668), np.float64(31.958333333333332), np.float64(32.75), np.float64(33.541666666666664), np.float64(34.333333333333336), np.float64(35.125), np.float64(35.916666666666664), np.float64(36.708333333333336), np.float64(37.5), np.float64(38.291666666666664), np.float64(39.083333333333336), np.float64(39.875), np.float64(40.625), np.float64(41.375), np.float64(42.125), np.float64(42.833333333333336), np.float64(43.541666666666664), np.float64(44.25), np.float64(44.958333333333336), np.float64(45.666666666666664), np.float64(46.375), np.float64(47.083333333333336), np.float64(47.791666666666664), np.float64(48.5), np.float64(49.208333333333336), np.float64(49.916666666666664), np.float64(50.625), np.float64(51.333333333333336), np.float64(52.041666666666664), np.float64(52.75), np.float64(53.458333333333336), np.float64(54.166666666666664), np.float64(54.875), np.float64(55.583333333333336), np.float64(56.291666666666664), np.float64(57.0), np.float64(57.708333333333336), np.float64(58.416666666666664), np.float64(59.125), np.float64(59.833333333333336), np.float64(60.541666666666664), np.float64(61.25), np.float64(61.958333333333336), np.float64(62.666666666666664), np.float64(63.375), np.float64(64.08333333333333), np.float64(64.79166666666667), np.float64(65.5), np.float64(66.20833333333333), np.float64(66.91666666666667), np.float64(67.625), np.float64(68.33333333333333), np.float64(69.04166666666667), np.float64(69.75)]"
Conflict-Aware ETA,8,16,67.38,22.12,90.0,135,1251,20,62.55,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.208333333333333), np.float64(7.041666666666667), np.float64(7.875), np.float64(8.708333333333334), np.float64(9.541666666666666), np.float64(10.375), np.float64(11.208333333333334), np.float64(12.041666666666666), np.float64(12.875), np.float64(13.708333333333334), np.float64(14.541666666666666), np.float64(15.375), np.float64(16.208333333333332), np.float64(17.041666666666668), np.float64(17.875), np.float64(18.708333333333332), np.float64(19.541666666666668), np.float64(20.375), np.float64(21.208333333333332), np.float64(22.041666666666668), np.float64(22.875), np.float64(23.666666666666668), np.float64(24.458333333333332), np.float64(25.25), np.float64(26.041666666666668), np.float64(26.833333333333332), np.float64(27.625), np.float64(28.416666666666668), np.float64(29.208333333333332), np.float64(30.0), np.float64(30.791666666666668), np.float64(31.583333333333332), np.float64(32.375), np.float64(33.125), np.float64(33.875), np.float64(34.625), np.float64(35.375), np.float64(36.125), np.float64(36.875), np.float64(37.625), np.float64(38.375), np.float64(39.125), np.float64(39.833333333333336), np.float64(40.541666666666664), np.float64(41.25), np.float64(41.958333333333336), np.float64(42.666666666666664), np.float64(43.375), np.float64(44.041666666666664), np.float64(44.708333333333336), np.float64(45.375), np.float64(46.041666666666664), np.float64(46.708333333333336), np.float64(47.375), np.float64(48.041666666666664), np.float64(48.708333333333336), np.float64(49.375), np.float64(50.041666666666664), np.float64(50.708333333333336), np.float64(51.375), np.float64(52.041666666666664), np.float64(52.708333333333336), np.float64(53.375), np.float64(54.041666666666664), np.float64(54.708333333333336), np.float64(55.375), np.float64(56.041666666666664), np.float64(56.708333333333336), np.float64(57.375), np.float64(58.041666666666664), np.float64(58.708333333333336), np.float64(59.375), np.float64(60.041666666666664), np.float64(60.708333333333336), np.float64(61.375), np.float64(62.041666666666664), np.float64(62.708333333333336), np.float64(63.375), np.float64(64.04166666666667), np.float64(64.70833333333333), np.float64(65.375), np.float64(66.04166666666667), np.float64(66.70833333333333), np.float64(67.375)]"
Trajectory-Aware,8,16,67.38,22.12,90.0,135,1251,20,62.55,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.208333333333333), np.float64(7.041666666666667), np.float64(7.875), np.float64(8.708333333333334), np.float64(9.541666666666666), np.float64(10.375), np.float64(11.208333333333334), np.float64(12.041666666666666), np.float64(12.875), np.float64(13.708333333333334), np.float64(14.541666666666666), np.float64(15.375), np.float64(16.208333333333332), np.float64(17.041666666666668), np.float64(17.875), np.float64(18.708333333333332), np.float64(19.541666666666668), np.float64(20.375), np.float64(21.208333333333332), np.float64(22.041666666666668), np.float64(22.875), np.float64(23.666666666666668), np.float64(24.458333333333332), np.float64(25.25), np.float64(26.041666666666668), np.float64(26.833333333333332), np.float64(27.625), np.float64(28.416666666666668), np.float64(29.208333333333332), np.float64(30.0), np.float64(30.791666666666668), np.float64(31.583333333333332), np.float64(32.375), np.float64(33.125), np.float64(33.875), np.float64(34.625), np.float64(35.375), np.float64(36.125), np.float64(36.875), np.float64(37.625), np.float64(38.375), np.float64(39.125), np.float64(39.833333333333336), np.float64(40.541666666666664), np.float64(41.25), np.float64(41.958333333333336), np.float64(42.666666666666664), np.float64(43.375), np.float64(44.041666666666664), np.float64(44.708333333333336), np.float64(45.375), np.float64(46.041666666666664), np.float64(46.708333333333336), np.float64(47.375), np.float64(48.041666666666664), np.float64(48.708333333333336), np.float64(49.375), np.float64(50.041666666666664), np.float64(50.708333333333336), np.float64(51.375), np.float64(52.041666666666664), np.float64(52.708333333333336), np.float64(53.375), np.float64(54.041666666666664), np.float64(54.708333333333336), np.float64(55.375), np.float64(56.041666666666664), np.float64(56.708333333333336), np.float64(57.375), np.float64(58.041666666666664), np.float64(58.708333333333336), np.float64(59.375), np.float64(60.041666666666664), np.float64(60.708333333333336), np.float64(61.375), np.float64(62.041666666666664), np.float64(62.708333333333336), np.float64(63.375), np.float64(64.04166666666667), np.float64(64.70833333333333), np.float64(65.375), np.float64(66.04166666666667), np.float64(66.70833333333333), np.float64(67.375)]"
Optimization Heuristic,7,17,69.62,20.14,90.0,146,1286,23,55.91,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.25), np.float64(7.125), np.float64(8.0), np.float64(8.875), np.float64(9.75), np.float64(10.625), np.float64(11.458333333333334), np.float64(12.291666666666666), np.float64(13.125), np.float64(13.958333333333334), np.float64(14.791666666666666), np.float64(15.625), np.float64(16.458333333333332), np.float64(17.291666666666668), np.float64(18.125), np.float64(18.958333333333332), np.float64(19.791666666666668), np.float64(20.625), np.float64(21.458333333333332), np.float64(22.291666666666668), np.float64(23.125), np.float64(23.916666666666668), np.float64(24.708333333333332), np.float64(25.5), np.float64(26.291666666666668), np.float64(27.083333333333332), np.float64(27.875), np.float64(28.666666666666668), np.float64(29.458333333333332), np.float64(30.25), np.float64(31.041666666666668), np.float64(31.833333333333332), np.float64(32.625), np.float64(33.416666666666664), np.float64(34.208333333333336), np.float64(35.0), np.float64(35.791666666666664), np.float64(36.583333333333336), np.float64(37.375), np.float64(38.166666666666664), np.float64(38.958333333333336), np.float64(39.75), np.float64(40.5), np.float64(41.25), np.float64(42.0), np.float64(42.708333333333336), np.float64(43.416666666666664), np.float64(44.125), np.float64(44.833333333333336), np.float64(45.541666666666664), np.float64(46.25), np.float64(46.958333333333336), np.float64(47.666666666666664), np.float64(48.375), np.float64(49.083333333333336), np.float64(49.791666666666664), np.float64(50.5), np.float64(51.208333333333336), np.float64(51.916666666666664), np.float64(52.625), np.float64(53.333333333333336), np.float64(54.041666666666664), np.float64(54.75), np.float64(55.458333333333336), np.float64(56.166666666666664), np.float64(56.875), np.float64(57.583333333333336), np.float64(58.291666666666664), np.float64(59.0), np.float64(59.708333333333336), np.float64(60.416666666666664), np.float64(61.125), np.float64(61.833333333333336), np.float64(62.541666666666664), np.float64(63.25), np.float64(63.958333333333336), np.float64(64.66666666666667), np.float64(65.375), np.float64(66.08333333333333), np.float64(66.79166666666667), np.float64(67.5), np.float64(68.20833333333333), np.float64(68.91666666666667), np.float64(69.625)]"
Safe Skies,24,0,13.83,13.83,29.0,102,24,20,1.2,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.208333333333333), np.float64(6.375), np.float64(6.416666666666667), np.float64(6.541666666666667), np.float64(6.75), np.float64(7.041666666666667), np.float64(7.375), np.float64(7.75), np.float64(8.083333333333334), np.float64(8.416666666666666), np.float64(8.791666666666666), np.float64(9.208333333333334), np.float64(9.583333333333334), np.float64(9.958333333333334), np.float64(10.291666666666666), np.float64(10.583333333333334), np.float64(10.833333333333334), np.float64(11.083333333333334), np.float64(11.291666666666666), np.float64(11.583333333333334), np.float64(11.833333333333334), np.float64(12.0), np.float64(12.166666666666666), np.float64(12.291666666666666), np.float64(12.416666666666666), np.float64(12.583333333333334), np.float64(12.833333333333334), np.float64(13.041666666666666), np.float64(13.25), np.float64(13.416666666666666), np.float64(13.541666666666666), np.float64(13.666666666666666), np.float64(13.75), np.float64(13.791666666666666), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334), np.float64(13.833333333333334)]"
