Strategy,Landed,Airborne,Average Wait - All Aircraft (min),Average Wait - Landed Aircraft (min),Maximum Wait (min),Unique Conflict Pairs,Total Holding Actions,Unique Aircraft Sent to Holding,Avg Holding Actions per Affected Aircraft,Avg Wait Over Time
FIFO,14,10,45.12,13.07,90.0,31,591,11,53.73,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.5833333333333335), np.float64(4.416666666666667), np.float64(5.25), np.float64(6.041666666666667), np.float64(6.833333333333333), np.float64(7.625), np.float64(8.333333333333334), np.float64(9.041666666666666), np.float64(9.75), np.float64(10.416666666666666), np.float64(11.083333333333334), np.float64(11.75), np.float64(12.333333333333334), np.float64(12.916666666666666), np.float64(13.5), np.float64(14.083333333333334), np.float64(14.666666666666666), np.float64(15.25), np.float64(15.75), np.float64(16.25), np.float64(16.75), np.float64(17.25), np.float64(17.75), np.float64(18.25), np.float64(18.75), np.float64(19.25), np.float64(19.75), np.float64(20.25), np.float64(20.75), np.float64(21.25), np.float64(21.708333333333332), np.float64(22.166666666666668), np.float64(22.625), np.float64(23.041666666666668), np.float64(23.458333333333332), np.float64(23.875), np.float64(24.291666666666668), np.float64(24.708333333333332), np.float64(25.125), np.float64(25.541666666666668), np.float64(25.958333333333332), np.float64(26.375), np.float64(26.791666666666668), np.float64(27.208333333333332), np.float64(27.625), np.float64(28.041666666666668), np.float64(28.458333333333332), np.float64(28.875), np.float64(29.291666666666668), np.float64(29.708333333333332), np.float64(30.125), np.float64(30.541666666666668), np.float64(30.958333333333332), np.float64(31.375), np.float64(31.791666666666668), np.float64(32.208333333333336), np.float64(32.625), np.float64(33.041666666666664), np.float64(33.458333333333336), np.float64(33.875), np.float64(34.291666666666664), np.float64(34.708333333333336), np.float64(35.125), np.float64(35.541666666666664), np.float64(35.958333333333336), np.float64(36.375), np.float64(36.791666666666664), np.float64(37.208333333333336), np.float64(37.625), np.float64(38.041666666666664), np.float64(38.458333333333336), np.float64(38.875), np.float64(39.291666666666664), np.float64(39.708333333333336), np.float64(40.125), np.float64(40.541666666666664), np.float64(40.958333333333336), np.float64(41.375), np.float64(41.791666666666664), np.float64(42.208333333333336), np.float64(42.625), np.float64(43.041666666666664), np.float64(43.458333333333336), np.float64(43.875), np.float64(44.291666666666664), np.float64(44.708333333333336), np.float64(45.125)]"
ETA-Based,16,8,44.25,21.38,90.0,29,587,12,48.92,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.5833333333333335), np.float64(4.416666666666667), np.float64(5.25), np.float64(6.083333333333333), np.float64(6.916666666666667), np.float64(7.75), np.float64(8.5), np.float64(9.25), np.float64(10.0), np.float64(10.75), np.float64(11.5), np.float64(12.25), np.float64(12.958333333333334), np.float64(13.666666666666666), np.float64(14.375), np.float64(15.041666666666666), np.float64(15.708333333333334), np.float64(16.375), np.float64(16.958333333333332), np.float64(17.541666666666668), np.float64(18.125), np.float64(18.666666666666668), np.float64(19.208333333333332), np.float64(19.75), np.float64(20.291666666666668), np.float64(20.833333333333332), np.float64(21.375), np.float64(21.875), np.float64(22.375), np.float64(22.875), np.float64(23.375), np.float64(23.875), np.float64(24.375), np.float64(24.833333333333332), np.float64(25.291666666666668), np.float64(25.75), np.float64(26.208333333333332), np.float64(26.666666666666668), np.float64(27.125), np.float64(27.583333333333332), np.float64(28.041666666666668), np.float64(28.5), np.float64(28.916666666666668), np.float64(29.333333333333332), np.float64(29.75), np.float64(30.125), np.float64(30.5), np.float64(30.875), np.float64(31.25), np.float64(31.625), np.float64(32.0), np.float64(32.375), np.float64(32.75), np.float64(33.125), np.float64(33.5), np.float64(33.875), np.float64(34.25), np.float64(34.583333333333336), np.float64(34.916666666666664), np.float64(35.25), np.float64(35.583333333333336), np.float64(35.916666666666664), np.float64(36.25), np.float64(36.583333333333336), np.float64(36.916666666666664), np.float64(37.25), np.float64(37.583333333333336), np.float64(37.916666666666664), np.float64(38.25), np.float64(38.583333333333336), np.float64(38.916666666666664), np.float64(39.25), np.float64(39.583333333333336), np.float64(39.916666666666664), np.float64(40.25), np.float64(40.583333333333336), np.float64(40.916666666666664), np.float64(41.25), np.float64(41.583333333333336), np.float64(41.916666666666664), np.float64(42.25), np.float64(42.583333333333336), np.float64(42.916666666666664), np.float64(43.25), np.float64(43.583333333333336), np.float64(43.916666666666664), np.float64(44.25)]"
Conflict-Aware ETA,14,10,47.75,17.57,90.0,33,652,12,54.33,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.6666666666666665), np.float64(4.583333333333333), np.float64(5.5), np.float64(6.333333333333333), np.float64(7.166666666666667), np.float64(8.0), np.float64(8.833333333333334), np.float64(9.666666666666666), np.float64(10.5), np.float64(11.25), np.float64(12.0), np.float64(12.75), np.float64(13.416666666666666), np.float64(14.083333333333334), np.float64(14.75), np.float64(15.416666666666666), np.float64(16.083333333333332), np.float64(16.75), np.float64(17.375), np.float64(18.0), np.float64(18.625), np.float64(19.208333333333332), np.float64(19.791666666666668), np.float64(20.375), np.float64(20.916666666666668), np.float64(21.458333333333332), np.float64(22.0), np.float64(22.541666666666668), np.float64(23.083333333333332), np.float64(23.625), np.float64(24.125), np.float64(24.625), np.float64(25.125), np.float64(25.583333333333332), np.float64(26.041666666666668), np.float64(26.5), np.float64(26.916666666666668), np.float64(27.333333333333332), np.float64(27.75), np.float64(28.166666666666668), np.float64(28.583333333333332), np.float64(29.0), np.float64(29.416666666666668), np.float64(29.833333333333332), np.float64(30.25), np.float64(30.666666666666668), np.float64(31.083333333333332), np.float64(31.5), np.float64(31.916666666666668), np.float64(32.333333333333336), np.float64(32.75), np.float64(33.166666666666664), np.float64(33.583333333333336), np.float64(34.0), np.float64(34.416666666666664), np.float64(34.833333333333336), np.float64(35.25), np.float64(35.666666666666664), np.float64(36.083333333333336), np.float64(36.5), np.float64(36.916666666666664), np.float64(37.333333333333336), np.float64(37.75), np.float64(38.166666666666664), np.float64(38.583333333333336), np.float64(39.0), np.float64(39.416666666666664), np.float64(39.833333333333336), np.float64(40.25), np.float64(40.666666666666664), np.float64(41.083333333333336), np.float64(41.5), np.float64(41.916666666666664), np.float64(42.333333333333336), np.float64(42.75), np.float64(43.166666666666664), np.float64(43.583333333333336), np.float64(44.0), np.float64(44.416666666666664), np.float64(44.833333333333336), np.float64(45.25), np.float64(45.666666666666664), np.float64(46.083333333333336), np.float64(46.5), np.float64(46.916666666666664), np.float64(47.333333333333336), np.float64(47.75)]"
Trajectory-Aware,14,10,46.75,15.86,90.0,31,611,11,55.55,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.6666666666666665), np.float64(4.583333333333333), np.float64(5.5), np.float64(6.333333333333333), np.float64(7.166666666666667), np.float64(8.0), np.float64(8.791666666666666), np.float64(9.583333333333334), np.float64(10.375), np.float64(11.125), np.float64(11.875), np.float64(12.625), np.float64(13.291666666666666), np.float64(13.958333333333334), np.float64(14.625), np.float64(15.25), np.float64(15.875), np.float64(16.5), np.float64(17.083333333333332), np.float64(17.666666666666668), np.float64(18.25), np.float64(18.791666666666668), np.float64(19.333333333333332), np.float64(19.875), np.float64(20.375), np.float64(20.875), np.float64(21.375), np.float64(21.875), np.float64(22.375), np.float64(22.875), np.float64(23.333333333333332), np.float64(23.791666666666668), np.float64(24.25), np.float64(24.666666666666668), np.float64(25.083333333333332), np.float64(25.5), np.float64(25.916666666666668), np.float64(26.333333333333332), np.float64(26.75), np.float64(27.166666666666668), np.float64(27.583333333333332), np.float64(28.0), np.float64(28.416666666666668), np.float64(28.833333333333332), np.float64(29.25), np.float64(29.666666666666668), np.float64(30.083333333333332), np.float64(30.5), np.float64(30.916666666666668), np.float64(31.333333333333332), np.float64(31.75), np.float64(32.166666666666664), np.float64(32.583333333333336), np.float64(33.0), np.float64(33.416666666666664), np.float64(33.833333333333336), np.float64(34.25), np.float64(34.666666666666664), np.float64(35.083333333333336), np.float64(35.5), np.float64(35.916666666666664), np.float64(36.333333333333336), np.float64(36.75), np.float64(37.166666666666664), np.float64(37.583333333333336), np.float64(38.0), np.float64(38.416666666666664), np.float64(38.833333333333336), np.float64(39.25), np.float64(39.666666666666664), np.float64(40.083333333333336), np.float64(40.5), np.float64(40.916666666666664), np.float64(41.333333333333336), np.float64(41.75), np.float64(42.166666666666664), np.float64(42.583333333333336), np.float64(43.0), np.float64(43.416666666666664), np.float64(43.833333333333336), np.float64(44.25), np.float64(44.666666666666664), np.float64(45.083333333333336), np.float64(45.5), np.float64(45.916666666666664), np.float64(46.333333333333336), np.float64(46.75)]"
Optimization Heuristic,15,9,46.38,20.2,90.0,30,619,12,51.58,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.5833333333333335), np.float64(4.416666666666667), np.float64(5.25), np.float64(6.083333333333333), np.float64(6.916666666666667), np.float64(7.75), np.float64(8.583333333333334), np.float64(9.416666666666666), np.float64(10.25), np.float64(11.041666666666666), np.float64(11.833333333333334), np.float64(12.625), np.float64(13.375), np.float64(14.125), np.float64(14.875), np.float64(15.583333333333334), np.float64(16.291666666666668), np.float64(17.0), np.float64(17.666666666666668), np.float64(18.333333333333332), np.float64(19.0), np.float64(19.583333333333332), np.float64(20.166666666666668), np.float64(20.75), np.float64(21.291666666666668), np.float64(21.833333333333332), np.float64(22.375), np.float64(22.916666666666668), np.float64(23.458333333333332), np.float64(24.0), np.float64(24.5), np.float64(25.0), np.float64(25.5), np.float64(25.958333333333332), np.float64(26.416666666666668), np.float64(26.875), np.float64(27.333333333333332), np.float64(27.791666666666668), np.float64(28.25), np.float64(28.666666666666668), np.float64(29.083333333333332), np.float64(29.5), np.float64(29.875), np.float64(30.25), np.float64(30.625), np.float64(31.0), np.float64(31.375), np.float64(31.75), np.float64(32.125), np.float64(32.5), np.float64(32.875), np.float64(33.25), np.float64(33.625), np.float64(34.0), np.float64(34.375), np.float64(34.75), np.float64(35.125), np.float64(35.5), np.float64(35.875), np.float64(36.25), np.float64(36.625), np.float64(37.0), np.float64(37.375), np.float64(37.75), np.float64(38.125), np.float64(38.5), np.float64(38.875), np.float64(39.25), np.float64(39.625), np.float64(40.0), np.float64(40.375), np.float64(40.75), np.float64(41.125), np.float64(41.5), np.float64(41.875), np.float64(42.25), np.float64(42.625), np.float64(43.0), np.float64(43.375), np.float64(43.75), np.float64(44.125), np.float64(44.5), np.float64(44.875), np.float64(45.25), np.float64(45.625), np.float64(46.0), np.float64(46.375)]"
Safe Skies,24,0,20.0,20.0,35.0,16,20,11,1.82,"[np.float64(0.9166666666666666), np.float64(1.8333333333333333), np.float64(2.75), np.float64(3.625), np.float64(4.5), np.float64(5.375), np.float64(6.208333333333333), np.float64(6.958333333333333), np.float64(7.625), np.float64(8.0), np.float64(8.5), np.float64(9.041666666666666), np.float64(9.666666666666666), np.float64(10.375), np.float64(11.083333333333334), np.float64(11.708333333333334), np.float64(12.333333333333334), np.float64(12.958333333333334), np.float64(13.5), np.float64(14.041666666666666), np.float64(14.583333333333334), np.float64(15.125), np.float64(15.625), np.float64(16.041666666666668), np.float64(16.416666666666668), np.float64(16.791666666666668), np.float64(17.125), np.float64(17.416666666666668), np.float64(17.75), np.float64(18.125), np.float64(18.416666666666668), np.float64(18.708333333333332), np.float64(18.958333333333332), np.float64(19.166666666666668), np.float64(19.333333333333332), np.float64(19.5), np.float64(19.625), np.float64(19.791666666666668), np.float64(19.958333333333332), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0), np.float64(20.0)]"
